time,seconds_elapsed,latitude,longitude,ellipsoidalAltitude,altitude,course,speed,verticalAccuracy,horizontalAccuracy,speedAccuracy,courseAccuracy
1782665001820819968,-7.178399085998535,43.73282675173048,-79.38266378700385,93.0624591904803,130.4724590378924,-1.0,-1.0,30.0,10.16078161862041,-1.0,-1.0
1782665009189157888,0.18993902206420898,43.732682821022955,-79.38283517150366,126.49050575136826,126.49050575136826,-1.0,-1.0,37.6867069284891,72.395014,-1.0,-1.0
1782665009190319104,0.1911001205444336,43.73282284617703,-79.38267653311839,92.75909273231017,130.16909257972227,-1.0,-1.0,30.0,19.312582476251382,-1.0,-1.0
1782665015210034944,6.210815906524658,43.73283270506306,-79.38266536371263,92.75909273231017,130.16909257972227,-1.0,-1.0,30.0,19.7153800846931,-1.0,-1.0
1782665021221815040,12.222596168518066,43.73283022194238,-79.38264691571351,92.75909273231017,130.16909257972227,-1.0,-1.0,30.0,16.78990986478969,-1.0,-1.0
1782665027233329920,18.234111070632935,43.73284554302842,-79.38262925079303,92.75909273231017,130.16909257972227,-1.0,-1.0,30.0,15.097951149537954,-1.0,-1.0
1782665033245161984,24.245943069458008,43.732842351429014,-79.3826444272187,92.75909273231017,130.16909257972227,-1.0,-1.0,30.0,16.04499879393767,-1.0,-1.0
1782665039295081984,30.295863151550293,43.73283854009058,-79.3826543591234,92.75909273231017,130.16909257972227,-1.0,-1.0,30.0,16.53885519603096,-1.0,-1.0
1782665039426442240,30.427223205566406,43.73283863314054,-79.38265421099693,92.75909273231017,130.16909257972227,-1.0,-1.0,30.0,16.547331429192557,-1.0,-1.0
1782665045435060992,36.43584203720093,43.732828466532844,-79.38268518034282,92.75909273231017,130.16909257972227,-1.0,-1.0,30.0,14.286756552187633,-1.0,-1.0
1782665051462422016,42.46320295333862,43.73281938244364,-79.38270935431267,92.75909273231017,130.16909257972227,-1.0,-1.0,30.0,12.776390668149293,-1.0,-1.0
