time,seconds_elapsed,latitude,longitude,ellipsoidalAltitude,altitude,course,speed,verticalAccuracy,horizontalAccuracy,speedAccuracy,courseAccuracy
1784286967998280960,-8.358850955963135,43.73271166546311,-79.38288796942572,97.98842971634289,135.398429563755,-1.0,-1.0,30.0,20.59599562680897,-1.0,-1.0
1784286976318572032,-0.038559913635253906,43.73271166546311,-79.38288796942572,0.0,128.01619758117428,-1.0,-1.0,31.071627980429433,36.295014,-1.0,-1.0
1784286976774507008,0.4173750877380371,43.73268307025406,-79.38289720092547,98.01206937909691,135.42206922650902,-1.0,-1.0,30.0,20.812326175281598,-1.0,-1.0
