time,seconds_elapsed,rotationRateX,rotationRateY,rotationRateZ,gravityX,gravityY,gravityZ,accelerationX,accelerationY,accelerationZ,quaternionW,quaternionX,quaternionY,quaternionZ,pitch,roll,yaw
1782664836299960832,0.17501282691955566,0.8819301724433899,0.17137664556503296,-0.605120062828064,0.08369085192680359,0.7247254252433777,-0.6839362978935242,0.04761102795600891,-0.12920546531677246,0.005667924880981445,-0.5355148934469901,0.19344094892890495,-0.3472930348730949,0.7451119720510665,-0.8106358049995985,0.12176111841019532,-1.8429571357216474
1782664836309881088,0.18493294715881348,1.183896780014038,0.1255883127450943,-0.5760460495948792,0.08230409771203995,0.7161132097244263,-0.693114697933197,0.050844088196754456,-0.11201775074005127,0.02366584539413452,-0.534695634973241,0.18975419918875963,-0.3426893533290445,0.7487710530482399,-0.7982177116828781,0.11819183493504419,-1.851448677567759
1782664836319799808,0.19485187530517578,1.5715539455413818,0.10268913209438324,-0.5886409282684326,0.08227203041315079,0.7038942575454712,-0.7055240869522095,0.030765078961849213,-0.08753073215484619,0.06308329105377197,-0.5346401864315372,0.1843327969979346,-0.33654028920254936,0.752942238671683,-0.7808652015854296,0.11608692631620467,-1.8588691649776359
1782664836329720064,0.2047719955444336,2.0694916248321533,0.09742587804794312,-0.5749140977859497,0.08155041188001633,0.6893341541290283,-0.7198387980461121,0.003532588481903076,-0.04236149787902832,0.11311882734298706,-0.5346634866962786,0.1783737155222655,-0.3290340577876263,0.7576637123002748,-0.7605695404007687,0.11280884351807745,-1.8674102215614001
1782664836339639808,0.2146918773651123,2.496612310409546,0.1629982441663742,-0.5936909914016724,0.0804620012640953,0.6721712350845337,-0.7360106110572815,-0.025866039097309113,-0.013281464576721191,0.14363396167755127,-0.5346969017286283,0.17166875948465454,-0.32019450358108453,0.7629577287215247,-0.7371374517842426,0.1088893816536662,-1.8769485219915918
1782664836349560064,0.22461199760437012,2.521968126296997,0.2605500817298889,-0.6728289127349854,0.07915722578763962,0.6536718010902405,-0.752626895904541,-0.05480419844388962,-0.03195244073867798,0.16652154922485352,-0.5342843368848128,0.1645534750152307,-0.3108193995609533,0.7686700300280819,-0.7124262193455168,0.10478933772511904,-1.8877435030473593
1782664836359479040,0.23453092575073242,2.3167741298675537,0.34676307439804077,-0.7385059595108032,0.07748193293809891,0.6361952424049377,-0.7676275968551636,-0.0672280341386795,-0.13389122486114502,0.24994271993637085,-0.533085317762214,0.15792207457227042,-0.30207087725073056,0.774360289137369,-0.6895567466289705,0.10059616611170707,-1.8996158187305365
1782664836369398784,0.24445080757141113,2.074036121368408,0.46799394488334656,-0.781443178653717,0.07605750858783722,0.6202501654624939,-0.7807080149650574,-0.04413613677024841,-0.2655138373374939,0.2786175608634949,-0.5312170745993711,0.1517229163690066,-0.294323215903405,0.7798476665883957,-0.6690615724399125,0.0971147391813576,-1.9118456628877698
1782664836379319040,0.25437092781066895,1.9423388242721558,0.5252900123596191,-0.8042137026786804,0.07514487951993942,0.6054365038871765,-0.7923381924629211,-0.003352254629135132,-0.2945844531059265,0.2608135938644409,-0.5288664058586371,0.14572843130154764,-0.28739192197623575,0.7851556029755182,-0.650314191930946,0.09455657514576617,-1.9241450131269633
1782664836389238784,0.26429080963134766,2.034865140914917,0.5129003524780273,-0.756691038608551,0.07473428547382355,0.590262770652771,-0.8037441372871399,0.05499596148729324,-0.23468726873397827,0.1450069546699524,-0.526491475098693,0.1395435725536691,-0.2804559392827315,0.7903661790198478,-0.6313843438020127,0.09271609234081025,-1.9360202098140946
1782664836399158016,0.27420997619628906,2.3525052070617676,0.473889023065567,-0.7611837983131409,0.0745660662651062,0.5730541944503784,-0.8161181211471558,0.1094396635890007,-0.15915954113006592,0.03560054302215576,-0.5243822639737052,0.1327941382269471,-0.27259245455812003,0.7956647512148448,-0.6102278435821773,0.09111378211367263,-1.9474578028286529
1782664836409077760,0.2841298580169678,2.8613991737365723,0.45770618319511414,-0.808504045009613,0.07445191591978073,0.5519581437110901,-0.8305414319038391,0.11445188522338867,-0.06767475605010986,-0.009790539741516113,-0.522417675169793,0.12492582350608497,-0.2629121708722604,0.8014676657079648,-0.5847106496334189,0.08940365625035132,-1.95935158064956
1782664836418998016,0.2940499782562256,3.4613659381866455,0.47526785731315613,-0.8154410123825073,0.07470376789569855,0.5256624221801758,-0.8474068641662598,0.11355916410684586,0.04983806610107422,0.010462284088134766,-0.5206000593040893,0.11546334095829167,-0.2509278475842388,0.8078855963226448,-0.553493622424093,0.08792841626027639,-1.9717488714682718
1782664836428917760,0.3039698600769043,4.109080791473389,0.4769238233566284,-0.7451831102371216,0.0757095217704773,0.4935840964317322,-0.8663964867591858,0.11829070746898651,0.11170154809951782,0.08536010980606079,-0.5190627882610123,0.10422164327598975,-0.2365155762695436,0.8147220900712607,-0.5162060220223655,0.08716297163897577,-1.9840566960840857
1782664836438836736,0.3138887882232666,4.551729679107666,0.5090748071670532,-0.6452274918556213,0.07790699601173401,0.4560158848762512,-0.8865551352500916,0.1247297003865242,0.08657139539718628,0.18469661474227905,-0.5179353876282866,0.09126615691095374,-0.21998389268251106,0.8215963730443778,-0.47351335693637253,0.08765093117600205,-1.9954835272595637
1782664836448756992,0.3238089084625244,4.818701267242432,0.5118971467018127,-0.5830628275871277,0.08115819096565247,0.4149094223976135,-0.9062358736991882,0.11078210920095444,0.05670920014381409,0.139542818069458,-0.5169565447278914,0.07726061769134583,-0.2022692448708397,0.8281750148758128,-0.4278432622802535,0.08931699222196823,-2.00611208360999
1782664836458676736,0.3337287902832031,4.982738018035889,0.474857360124588,-0.5424613356590271,0.08489128947257996,0.37081462144851685,-0.9248188734054565,0.11385443061590195,0.0034834444522857666,-0.007142126560211182,-0.4591428062738776,0.050218020231378085,-0.1872663904264296,0.8669471830208618,-0.37988602750485356,0.09153582536391476,-2.1498759967772525
1782664836468596992,0.34364891052246094,4.851905822753906,0.40798333287239075,-0.5532058477401733,0.08867325633764267,0.3259717524051666,-0.9412117004394531,0.09693466126918793,-0.08006110787391663,-0.07545089721679688,-0.44372556870571367,0.03433120794277306,-0.16797475401776807,0.8796097815803275,-0.33203943277177406,0.0939345437398912,-2.191427278150836
1782664836478515968,0.35356783866882324,4.134764194488525,-0.7136937975883484,-0.7152634859085083,0.09340161830186844,0.28400447964668274,-0.9542628526687622,0.14875537157058716,-0.23197200894355774,-0.5344303846359253,-0.43764690698467007,0.021239821346344716,-0.1497245586969018,0.8863388956239958,-0.2879679996897285,0.09756751555473718,-2.210134407691967
1782664836488435968,0.36348795890808105,4.358884334564209,0.4357980787754059,-1.2012732028961182,0.09063559770584106,0.24411648511886597,-0.965501070022583,0.13347023725509644,-0.38574856519699097,-0.525465726852417,-0.4325827045059345,0.01259511493507789,-0.1307318818091872,0.8919768889999304,-0.24660851649869953,0.09359985450997757,-2.226880054170307
1782664836498355968,0.37340784072875977,3.024442195892334,-0.28753405809402466,-1.12970769405365,0.09073206037282944,0.20830820500850677,-0.9738456606864929,0.12289097905158997,-0.49347972869873047,-0.3626410961151123,-0.4262680603468367,0.003737710821548092,-0.11429433534353567,0.8973396513475836,-0.209844906948369,0.09290063891239758,-2.2448480948140968
1782664836508275968,0.3833279609680176,3.043240785598755,-0.6928669810295105,-0.7778690457344055,0.08507537841796875,0.178301140666008,-0.9802912473678589,0.34976959228515625,-0.7800315022468567,0.07475841045379639,-0.42147118543275847,-0.0007763886215343895,-0.09926623447284404,0.9013920253963186,-0.17925964763693608,0.08656891384450487,-2.259057071310024
1782664836518194944,0.3932468891143799,2.9400441646575928,-0.8764090538024902,-0.7955654859542847,0.07735395431518555,0.14603373408317566,-0.9862507581710815,0.24858903884887695,-0.8453593254089355,0.010817408561706543,-0.4186327634140499,-0.00444129534357997,-0.08279437248567277,0.9043627022641535,-0.14655783569944708,0.07827210684880374,-2.2687784693958517
1782664836528114688,0.4031667709350586,2.8986356258392334,-0.7843239307403564,-0.8721543550491333,0.06873119622468948,0.11480611562728882,-0.9910073280334473,-0.00890149176120758,-0.2684621214866638,0.10868316888809204,-0.41595350123841973,-0.0073224380586014715,-0.06665361617047294,0.9069102976036806,-0.11505982120252854,0.06924400138435596,-2.27755677612881
1782664836538034944,0.4130868911743164,4.053736209869385,-0.5807822942733765,-0.8186629414558411,0.06179945170879364,0.07777921110391617,-0.9950533509254456,-0.13525526225566864,-0.018453039228916168,-0.09068578481674194,-0.4132179416520093,-0.012056225547129155,-0.04824893049721721,0.9092730827536173,-0.07785784665542657,0.06202699944814221,-2.286081398735478
1782664836547954688,0.4230067729949951,5.1613993644714355,-0.5756269097328186,-0.7962906956672668,0.056023430079221725,0.028786929324269295,-0.9980143904685974,-0.09844286739826202,0.011755673214793205,-0.1410236954689026,-0.4110205926682832,-0.019624424510327167,-0.024651484386886902,0.9110813308950213,-0.028790906598594162,0.05607604055066938,-2.2931904639502916
