time,seconds_elapsed,magneticBearing
1782985494938659072,0.18372702598571777,29.619064331054688
1782985494948579072,0.19364714622497559,29.685100555419922
1782985494958499072,0.2035670280456543,29.749237060546875
1782985494968419072,0.2134871482849121,29.833911895751953
1782985494978339072,0.22340703010559082,29.955677032470703
1782985494988259072,0.23332715034484863,30.12506103515625
1782985494998179072,0.24324703216552734,30.39800262451172
1782985495008099072,0.25316715240478516,30.70489501953125
1782985495018018048,0.26308608055114746,31.04383087158203
1782985495027937792,0.27300596237182617,31.53015899658203
1782985495037858048,0.282926082611084,32.157772064208984
1782985495047777792,0.2928459644317627,32.89961624145508
1782985495057698048,0.3027660846710205,33.75386428833008
1782985495067617792,0.3126859664916992,39.1258544921875
1782985495077538048,0.32260608673095703,40.18702697753906
1782985495087457792,0.33252596855163574,41.3709602355957
1782985495097378048,0.34244608879089355,42.66883087158203
1782985495107297024,0.35236501693725586,44.075164794921875
1782985495117217024,0.36228513717651367,45.544795989990234
1782985495127137024,0.3722050189971924,47.06116485595703
1782985495137057024,0.3821251392364502,48.40510559082031
1782985495146977024,0.3920450210571289,50.14175796508789
1782985495156897024,0.4019651412963867,51.93121337890625
1782985495166817024,0.41188502311706543,53.77914810180664
1782985495176737024,0.42180514335632324,55.66733932495117
1782985495186657024,0.43172502517700195,57.57468795776367
1782985495196577024,0.44164514541625977,59.4823112487793
1782985495206496000,0.45156407356262207,61.21738052368164
1782985495216416000,0.4614839553833008,65.17957305908203
1782985495226336000,0.4714040756225586,66.90794372558594
1782985495236256000,0.4813239574432373,69.42798614501953
1782985495246176000,0.4912440776824951,71.11164093017578
1782985495256096000,0.5011639595031738,72.75791931152344
1782985495266016000,0.5110840797424316,75.35568237304688
1782985495275936000,0.5210039615631104,77.28131103515625
1782985495285856000,0.5309240818023682,78.47061157226562
1782985495295774976,0.5408430099487305,80.14485168457031
1782985495305694976,0.5507631301879883,81.69572448730469
1782985495315614976,0.560683012008667,83.04730987548828
1782985495325534976,0.5706031322479248,84.10968017578125
1782985495335454976,0.5805230140686035,85.00885009765625
1782985495345374976,0.5904431343078613,85.80821990966797
1782985495355294976,0.60036301612854,86.62692260742188
1782985495365214976,0.6102831363677979,87.54157257080078
1782985495375134976,0.6202030181884766,88.45539855957031
1782985495385053952,0.6301219463348389,89.42544555664062
1782985495394973952,0.6400420665740967,90.3570327758789
1782985495404893952,0.6499619483947754,91.4572982788086
1782985495414813952,0.6598820686340332,92.60509490966797
1782985495424733952,0.6698019504547119,93.80225372314453
1782985495434653952,0.6797220706939697,95.02738189697266
1782985495444573952,0.6896419525146484,96.14747619628906
1782985495454493952,0.6995620727539062,97.13887786865234
1782985495464413952,0.709481954574585,98.10335540771484
1782985495474333952,0.7194020748138428,99.01265716552734
1782985495484252928,0.7293210029602051,99.9903793334961
1782985495494172928,0.7392411231994629,101.01170349121094
1782985495504092928,0.7491610050201416,102.09078216552734
1782985495514012928,0.7590811252593994,103.1830062866211
1782985495523932928,0.7690010070800781,104.23328399658203
1782985495533852928,0.7789211273193359,105.28153228759766
1782985495543772928,0.7888410091400146,106.30215454101562
1782985495553693184,0.7987611293792725,107.39492797851562
1782985495563612928,0.8086810111999512,108.48783874511719
1782985495573531904,0.8185999393463135,109.56068420410156
1782985495583451904,0.8285200595855713,110.68672180175781
1782985495593371904,0.83843994140625,111.960693359375
1782985495603291904,0.8483600616455078,113.42878723144531
1782985495613211904,0.8582799434661865,115.03252410888672
1782985495623131904,0.8682000637054443,116.82195281982422
1782985495633051904,0.878119945526123,118.75370025634766
1782985495642971904,0.8880400657653809,120.77252960205078
1782985495652891904,0.8979599475860596,122.8737564086914
1782985495662811136,0.907879114151001,124.96956634521484
1782985495672730880,0.9177989959716797,127.08220672607422
1782985495682651136,0.9277191162109375,129.28204345703125
1782985495692570880,0.9376389980316162,131.5692596435547
1782985495702489856,0.9475579261779785,134.11825561523438
1782985495712409856,0.9574778079986572,136.8905487060547
1782985495722329856,0.967397928237915,139.6878662109375
1782985495732249856,0.9773178100585938,142.10079956054688
1782985495742169856,0.9872379302978516,144.36474609375
1782985495752089856,0.9971578121185303,146.7838592529297
1782985495762008832,1.0070769786834717,149.18853759765625
1782985495771928832,1.0169968605041504,151.4680633544922
1782985495781848832,1.0269169807434082,153.64385986328125
1782985495791768832,1.036836862564087,155.76885986328125
1782985495801688832,1.0467569828033447,157.84056091308594
1782985495811608832,1.0566768646240234,159.63192749023438
1782985495821528832,1.0665969848632812,161.22259521484375
1782985495831448832,1.07651686668396,162.56996154785156
1782985495841368832,1.0864369869232178,163.62281799316406
1782985495851287808,1.09635591506958,164.43661499023438
1782985495861207808,1.1062757968902588,165.0769805908203
1782985495871127808,1.1161959171295166,165.47117614746094
1782985495881047808,1.1261157989501953,165.5906219482422
1782985495890967808,1.1360359191894531,165.35655212402344
1782985495900887808,1.1459558010101318,164.94676208496094
1782985495910807808,1.1558759212493896,164.36868286132812
1782985495920727808,1.1657958030700684,163.72335815429688
1782985495930647808,1.1757159233093262,162.9987335205078
1782985495940566784,1.1856348514556885,162.07984924316406
1782985495950486784,1.1955549716949463,160.95103454589844
1782985495960406784,1.205474853515625,159.7646026611328
1782985495970326784,1.2153949737548828,158.58673095703125
1782985495980246784,1.2253148555755615,157.33224487304688
1782985495990166784,1.2352349758148193,156.04107666015625
1782985496000086784,1.245154857635498,154.7041473388672
1782985496010006784,1.2550749778747559,153.30101013183594
1782985496019926784,1.2649948596954346,151.78433227539062
1782985496029845760,1.2749137878417969,150.1800537109375
1782985496039765760,1.2848339080810547,148.5260009765625
1782985496049685760,1.2947537899017334,146.7897491455078
1782985496059605760,1.3046739101409912,144.95614624023438
1782985496069525760,1.31459379196167,143.0593719482422
1782985496079445760,1.3245139122009277,141.21737670898438
1782985496089365760,1.3344337940216064,139.40289306640625
1782985496099285760,1.3443539142608643,137.75596618652344
1782985496109205760,1.354273796081543,136.2887420654297
1782985496119125760,1.3641939163208008,135.07717895507812
1782985496129044736,1.374112844467163,133.818359375
1782985496138964992,1.384032964706421,132.5230255126953
1782985496148884736,1.3939528465270996,131.1705322265625
1782985496158804992,1.4038729667663574,129.78341674804688
1782985496168724736,1.4137928485870361,128.36170959472656
1782985496178644992,1.423712968826294,126.91327667236328
1782985496188564736,1.4336328506469727,125.43468475341797
1782985496198484992,1.4435529708862305,124.0182876586914
1782985496208404736,1.4534728527069092,122.63524627685547
1782985496218323712,1.4633917808532715,121.2237319946289
1782985496228243712,1.4733119010925293,119.76616668701172
1782985496238163712,1.483231782913208,118.2420883178711
1782985496248083712,1.4931519031524658,116.65010833740234
1782985496258003712,1.5030717849731445,115.07550048828125
1782985496267923712,1.5129919052124023,113.51585388183594
1782985496277843712,1.522911787033081,111.97018432617188
1782985496287763712,1.5328319072723389,110.45425415039062
1782985496297683712,1.5427517890930176,109.03121185302734
1782985496307602944,1.552670955657959,107.64463806152344
1782985496317522688,1.5625908374786377,106.26984405517578
1782985496327442944,1.5725109577178955,104.96710968017578
1782985496337362688,1.5824308395385742,103.61528015136719
1782985496347282944,1.592350959777832,102.21879577636719
1782985496357202688,1.6022708415985107,100.82223510742188
1782985496367122944,1.6121909618377686,99.4874038696289
1782985496377042688,1.6221108436584473,98.26466369628906
1782985496386962944,1.632030963897705,97.1461410522461
