time,seconds_elapsed,x,y,z
1782665009017139200,0.017920255661010742,0.0567169189453125,0.715606689453125,-0.6132659912109375
1782665009027059200,0.027840137481689453,0.1075897216796875,0.786590576171875,-0.6186370849609375
1782665009036978944,0.037760019302368164,0.08465576171875,0.7042236328125,-0.5674591064453125
1782665009046898176,0.04767918586730957,0.0844879150390625,0.5995330810546875,-0.5501251220703125
1782665009056817920,0.05759906768798828,0.13446044921875,0.570159912109375,-0.5016632080078125
1782665009066738176,0.0675191879272461,0.11712646484375,0.53570556640625,-0.5418548583984375
1782665009076657152,0.0774381160736084,0.0812225341796875,0.62005615234375,-0.5695343017578125
1782665009086576896,0.08735799789428711,0.0523529052734375,0.71002197265625,-0.5873565673828125
1782665009096497152,0.09727811813354492,0.0551605224609375,0.723388671875,-0.6434173583984375
1782665009106415872,0.10719704627990723,0.0672149658203125,0.69097900390625,-0.6570587158203125
1782665009116336128,0.11711716651916504,0.1043701171875,0.6178436279296875,-0.689453125
1782665009126255872,0.12703704833984375,0.1294097900390625,0.66070556640625,-0.66571044921875
1782665009136175104,0.13695621490478516,0.124847412109375,0.728607177734375,-0.640228271484375
1782665009146095104,0.14687609672546387,0.103271484375,0.70361328125,-0.5893707275390625
1782665009156015104,0.15679621696472168,0.077911376953125,0.622314453125,-0.5309906005859375
1782665009165934080,0.16671514511108398,0.0594329833984375,0.5945892333984375,-0.5185546875
1782665009175854080,0.1766350269317627,0.0743560791015625,0.627777099609375,-0.56121826171875
1782665009185774080,0.1865551471710205,0.102630615234375,0.654205322265625,-0.63189697265625
1782665009195693056,0.1964740753173828,0.1210174560546875,0.7151641845703125,-0.684112548828125
1782665009205613056,0.20639419555664062,0.1261444091796875,0.7544097900390625,-0.7216033935546875
1782665009215533056,0.21631407737731934,0.1120147705078125,0.743133544921875,-0.69952392578125
1782665009225452032,0.22623300552368164,0.0914154052734375,0.7194366455078125,-0.665435791015625
1782665009235372032,0.23615312576293945,0.07940673828125,0.72357177734375,-0.6624755859375
1782665009245292032,0.24607300758361816,0.0514984130859375,0.7749786376953125,-0.6550140380859375
1782665009255211008,0.25599217414855957,0.01080322265625,0.7884979248046875,-0.6053314208984375
1782665009265131008,0.2659120559692383,-0.024993896484375,0.6590728759765625,-0.586517333984375
1782665009275051008,0.2758321762084961,-0.0209503173828125,0.5286865234375,-0.594879150390625
1782665009284969984,0.2857511043548584,0.0001220703125,0.4918365478515625,-0.6748199462890625
1782665009294889984,0.2956709861755371,0.0509033203125,0.5315399169921875,-0.8243865966796875
1782665009304809984,0.3055911064147949,0.1077423095703125,0.575103759765625,-0.936676025390625
1782665009314728960,0.3155100345611572,0.130157470703125,0.5689849853515625,-0.986083984375
1782665009324649216,0.32543015480041504,0.1195831298828125,0.5014190673828125,-1.0272979736328125
1782665009334568960,0.33535003662109375,0.0588836669921875,0.36669921875,-1.2063140869140625
1782665009344488192,0.34526920318603516,0.16583251953125,0.11773681640625,-1.6129913330078125
1782665009354407936,0.35518908500671387,0.2121734619140625,-0.2281951904296875,-0.9312286376953125
1782665009364328192,0.3651092052459717,0.1389312744140625,-0.2551422119140625,-0.8692626953125
1782665009374247168,0.375028133392334,0.0485382080078125,-0.091156005859375,-0.794342041015625
1782665009384166912,0.3849480152130127,-0.0976409912109375,-0.0555572509765625,-0.9083099365234375
1782665009394087168,0.3948681354522705,-0.0118255615234375,-0.0868988037109375,-0.919097900390625
1782665009404006912,0.4047880172729492,0.0753326416015625,-0.1828460693359375,-0.8186492919921875
1782665009413926144,0.4147071838378906,0.0260772705078125,-0.3314666748046875,-0.703948974609375
1782665009423845888,0.42462706565856934,-0.007659912109375,-0.498626708984375,-0.6143646240234375
1782665009433766144,0.43454718589782715,-0.0331573486328125,-0.6640625,-0.579498291015625
1782665009443685120,0.44446611404418945,-0.0639801025390625,-0.752716064453125,-0.535003662109375
1782665009453604864,0.45438599586486816,-0.049041748046875,-0.7874755859375,-0.51934814453125
1782665009463525120,0.464306116104126,-0.1002960205078125,-0.819122314453125,-0.57867431640625
1782665009473444096,0.4742250442504883,-0.0799560546875,-0.733978271484375,-0.4982452392578125
1782665009483364096,0.4841451644897461,-0.0420684814453125,-0.708984375,-0.351470947265625
1782665009493284096,0.4940650463104248,-0.0533905029296875,-0.7968597412109375,-0.2876434326171875
1782665009503203072,0.5039842128753662,-0.06591796875,-0.6860809326171875,-0.0314178466796875
1782665009513123072,0.5139040946960449,-0.1186065673828125,-0.54718017578125,0.1821441650390625
1782665009523043072,0.5238242149353027,-0.40106201171875,-0.7953033447265625,0.0682830810546875
1782665009532962048,0.533743143081665,-0.408599853515625,-0.94549560546875,0.075042724609375
1782665009542882048,0.5436630249023438,-0.264892578125,-1.0165557861328125,0.0267181396484375
1782665009552802048,0.5535831451416016,-0.1514434814453125,-0.99676513671875,-0.0669403076171875
1782665009562721024,0.5635020732879639,-0.1778411865234375,-0.91253662109375,-0.14971923828125
1782665009572641024,0.5734221935272217,-0.239532470703125,-0.8890533447265625,-0.1337432861328125
1782665009582561024,0.5833420753479004,-0.3115081787109375,-0.9195404052734375,-0.1150054931640625
1782665009592480000,0.5932610034942627,-0.3090057373046875,-0.9688873291015625,-0.0290985107421875
1782665009602400000,0.6031811237335205,-0.2470550537109375,-1.0300140380859375,-0.0302276611328125
1782665009612320000,0.6131010055541992,-0.221771240234375,-0.9558868408203125,0.0063018798828125
1782665009622239232,0.6230201721191406,-0.22998046875,-0.8275909423828125,0.0983428955078125
1782665009632158976,0.6329400539398193,-0.2285614013671875,-0.7660369873046875,0.1640472412109375
1782665009642079232,0.6428601741790771,-0.2237701416015625,-0.760406494140625,0.2496795654296875
1782665009651997952,0.6527791023254395,-0.220977783203125,-0.7623138427734375,0.29779052734375
1782665009661918208,0.6626992225646973,-0.22308349609375,-0.7688140869140625,0.279693603515625
1782665009671837952,0.672619104385376,-0.1926422119140625,-0.78399658203125,0.261993408203125
1782665009681756928,0.6825380325317383,-0.1183624267578125,-0.8748779296875,0.1800384521484375
1782665009691677184,0.6924581527709961,-0.0540924072265625,-0.8952178955078125,0.28485107421875
1782665009701596928,0.7023780345916748,-0.0605926513671875,-0.901458740234375,0.3351593017578125
1782665009711516160,0.7122972011566162,-0.06329345703125,-0.83489990234375,0.337799072265625
1782665009721435904,0.7222170829772949,-0.063232421875,-0.7636260986328125,0.3323516845703125
1782665009731356160,0.7321372032165527,-0.0057220458984375,-0.753997802734375,0.3000030517578125
1782665009741275136,0.742056131362915,0.139923095703125,-0.8475494384765625,0.32122802734375
1782665009751194880,0.7519760131835938,0.2208709716796875,-0.96490478515625,0.3018798828125
1782665009761115136,0.7618961334228516,0.2179412841796875,-0.916351318359375,0.3080596923828125
1782665009771034112,0.7718150615692139,0.293121337890625,-0.81243896484375,0.30718994140625
1782665009780954112,0.7817351818084717,0.3413238525390625,-0.8097991943359375,0.2940216064453125
1782665009790874112,0.7916550636291504,0.399169921875,-0.8498992919921875,0.2775115966796875
1782665009800792832,0.8015739917755127,0.4557037353515625,-0.9070587158203125,0.323028564453125
1782665009810713088,0.8114941120147705,0.50079345703125,-0.95294189453125,0.2719879150390625
1782665009820632832,0.8214139938354492,0.5085906982421875,-0.899261474609375,0.1999053955078125
1782665009830552064,0.8313331604003906,0.4784698486328125,-0.8485870361328125,0.1246337890625
1782665009840472064,0.8412530422210693,0.431610107421875,-0.886505126953125,0.11761474609375
1782665009850392064,0.8511731624603271,0.4058685302734375,-0.91656494140625,0.1106719970703125
1782665009860311040,0.8610920906066895,0.482513427734375,-0.8857574462890625,0.1937713623046875
1782665009870231040,0.8710122108459473,0.5063323974609375,-0.9035797119140625,0.247283935546875
1782665009880151040,0.880932092666626,0.4834442138671875,-0.9183807373046875,0.3122100830078125
1782665009890071040,0.8908522129058838,0.5565643310546875,-0.9850921630859375,0.345184326171875
1782665009899990016,0.9007711410522461,0.65521240234375,-1.0565948486328125,0.377105712890625
1782665009909910016,0.9106910228729248,0.6649932861328125,-1.08905029296875,0.4736328125
1782665009919830016,0.9206111431121826,0.6991424560546875,-1.0983734130859375,0.470184326171875
1782665009929748992,0.9305300712585449,0.7557220458984375,-1.0868988037109375,0.4903106689453125
1782665009939669248,0.9404501914978027,0.7818603515625,-1.07098388671875,0.4866485595703125
1782665009949588992,0.9503700733184814,0.8908843994140625,-1.04327392578125,0.466827392578125
1782665009959507968,0.9602890014648438,0.9203948974609375,-1.0678253173828125,0.435089111328125
1782665009969427968,0.9702091217041016,0.9241485595703125,-1.11688232421875,0.4463348388671875
1782665009979347968,0.9801290035247803,0.92938232421875,-1.179656982421875,0.41754150390625
1782665009989267200,0.9900481700897217,0.92327880859375,-1.2267913818359375,0.4088287353515625
1782665009999186944,0.9999680519104004,0.9217071533203125,-1.2675628662109375,0.4246826171875
1782665010009107200,1.0098881721496582,0.8954010009765625,-1.300994873046875,0.3893890380859375
1782665010019025920,1.0198071002960205,0.91107177734375,-1.3261871337890625,0.3791046142578125
1782665010028946176,1.0297272205352783,0.8679656982421875,-1.41851806640625,0.352294921875
1782665010038865920,1.039647102355957,0.9132080078125,-1.49249267578125,0.36175537109375
1782665010048784896,1.0495660305023193,0.954833984375,-1.5164337158203125,0.3529205322265625
1782665010058705152,1.0594861507415771,0.9983978271484375,-1.53436279296875,0.3798370361328125
1782665010068624896,1.0694060325622559,0.973114013671875,-1.5432281494140625,0.3897552490234375
1782665010078544128,1.0793251991271973,0.96441650390625,-1.5631561279296875,0.3701171875
1782665010088464128,1.089245080947876,1.017822265625,-1.5611572265625,0.34423828125
1782665010098384128,1.0991652011871338,0.984710693359375,-1.5404205322265625,0.3240966796875
1782665010108303104,1.109084129333496,0.954071044921875,-1.5548858642578125,0.334320068359375
1782665010118222848,1.1190040111541748,0.9689788818359375,-1.5325775146484375,0.3538055419921875
1782665010128143104,1.1289241313934326,0.9801025390625,-1.5490264892578125,0.37957763671875
1782665010138062080,1.138843059539795,0.953948974609375,-1.5518646240234375,0.5142974853515625
1782665010147982080,1.1487631797790527,0.8600616455078125,-1.5286712646484375,0.6378326416015625
1782665010157902080,1.1586830615997314,0.789306640625,-1.4358367919921875,0.6826324462890625
1782665010167821056,1.1686019897460938,0.73602294921875,-1.2307281494140625,0.44573974609375
1782665010177741056,1.1785221099853516,0.761627197265625,-1.0437164306640625,0.06195068359375
1782665010187661056,1.1884419918060303,0.738861083984375,-0.9629669189453125,-0.20208740234375
1782665010197581056,1.198362112045288,0.5145721435546875,-0.987762451171875,-0.2210540771484375
1782665010207500032,1.2082810401916504,0.3722686767578125,-1.0578460693359375,-0.1746978759765625
1782665010217420032,1.2182011604309082,0.338104248046875,-1.1391754150390625,-0.102783203125
