time,seconds_elapsed,latitude,longitude,ellipsoidalAltitude,altitude,course,speed,verticalAccuracy,horizontalAccuracy,speedAccuracy,courseAccuracy
1784285969164407040,-12.495505094528198,43.73264016990494,-79.38284277667442,105.49100520486672,142.90100505227883,-1.0,-1.0,30.0,17.625612750997917,-1.0,-1.0
1784285978164407040,-3.4955050945281982,43.73264016990494,-79.38284277667442,105.49100520486672,142.90100505227883,-1.0,-1.0,30.0,17.625612750997917,-1.0,-1.0
1784285981695676928,0.03576493263244629,43.73264016990494,-79.38284277667442,0.0,140.85871071023794,-1.0,-1.0,30.161906013276692,23.895014,-1.0,-1.0
1784285981698062848,0.038150787353515625,43.73264274700556,-79.38284679309801,105.49100520486672,142.90100505227883,-1.0,-1.0,30.0,15.310417739722002,-1.0,-1.0
1784285987771046144,6.111134052276611,43.732643772135624,-79.38284839076807,105.49100520486672,142.90100505227883,-1.0,-1.0,30.0,15.007982876345363,-1.0,-1.0
1784285993795243008,12.13533091545105,43.732644390752725,-79.38284935488578,105.49100520486672,142.90100505227883,-1.0,-1.0,30.0,17.638117236759687,-1.0,-1.0
1784285995335894016,13.675981998443604,43.732644416244966,-79.38284939461555,105.49100520486672,142.90100505227883,-1.0,-1.0,30.0,18.354174541636503,-1.0,-1.0
1784286001347346944,19.687434911727905,43.73264455213889,-79.38284960640688,105.49100520486672,142.90100505227883,-1.0,-1.0,30.0,18.955939740327967,-1.0,-1.0
1784286007383820032,25.723907947540283,43.732644567470736,-79.38284963030165,105.49100520486672,142.90100505227883,-1.0,-1.0,30.0,19.96745427730591,-1.0,-1.0
1784286013394692864,31.73478078842163,43.73264456752059,-79.38284963037933,105.49100520486672,142.90100505227883,-1.0,-1.0,30.0,19.96724772256958,-1.0,-1.0
1784286019402362880,37.74245071411133,43.73264456752076,-79.3828496303796,105.49100520486672,142.90100505227883,-1.0,-1.0,30.0,19.958270402430674,-1.0,-1.0
1784286025408709120,43.74879693984985,43.73264456752076,-79.3828496303796,105.49100520486672,142.90100505227883,-1.0,-1.0,30.0,19.96723525537815,-1.0,-1.0
1784286029180284928,47.52037286758423,43.73264456752075,-79.3828496303796,105.49100520486672,142.90100505227883,-1.0,-1.0,30.0,19.893221428706216,-1.0,-1.0
