time,seconds_elapsed,latitude,longitude,ellipsoidalAltitude,altitude,course,speed,verticalAccuracy,horizontalAccuracy,speedAccuracy,courseAccuracy
1784027933858701056,-32.28180813789368,43.73266175983873,-79.38284380289382,96.57229751586914,133.98229736328125,-1.0,-1.0,30.033497088,28.527761114099803,-1.0,-1.0
1784027942858701056,-23.281808137893677,43.73266175983873,-79.38284380289382,96.57229751586914,133.98229736328125,-1.0,-1.0,30.033497088,28.527761114099803,-1.0,-1.0
1784027966610348032,0.46983885765075684,43.73266175983873,-79.38284380289382,0.0,131.90303742749978,-1.0,-1.0,30.493122667469837,40.295014,-1.0,-1.0
1784027966699346944,0.558837890625,43.732660520976864,-79.38283791879122,96.51640338821889,133.926403235631,-1.0,-1.0,30.845924083282178,33.904042137656496,-1.0,-1.0
1784027972781447936,6.640938758850098,43.73265842977733,-79.38282798642253,96.46860090220602,133.87860074961813,-1.0,-1.0,32.723222026331094,19.76613450317066,-1.0,-1.0
1784027978806610176,12.666100978851318,43.73265838358749,-79.38282776703917,115.47075237138344,152.88075221879555,-1.0,-1.0,35.45096594915972,19.265815068310065,-1.0,-1.0
1784027981100966912,14.960457801818848,43.732658381323276,-79.38282775628505,186.10977796492932,223.51977781234143,-1.0,-1.0,36.60035921696912,15.888865921502184,-1.0,-1.0
1784027987210582016,21.070072889328003,43.73265838000431,-79.38282775002052,353.0263144479399,390.436314295352,-1.0,-1.0,39.594708561393766,19.967299769849724,-1.0,-1.0
1784027993223317248,27.082808017730713,43.732658380000004,-79.38282775000012,304.9106097249471,342.3206095723592,-1.0,-1.0,42.88430877933769,19.942083475930893,-1.0,-1.0
1784027999274734848,33.134225845336914,43.73265837999999,-79.38282775000002,194.34581283330618,231.7558126807183,-1.0,-1.0,46.52589425795419,18.728807306325834,-1.0,-1.0
1784028005341916928,39.20140790939331,43.73265837999998,-79.38282774999999,343.02080896868813,380.43080881610024,-1.0,-1.0,50.16647357507,19.297057877393517,-1.0,-1.0
1784028011360073216,45.21956396102905,43.732658379999975,-79.38282774999999,276.15496852335934,313.56496837077145,-1.0,-1.0,53.912274562099476,19.96742933349589,-1.0,-1.0
