time,seconds_elapsed,latitude,longitude,ellipsoidalAltitude,altitude,course,speed,verticalAccuracy,horizontalAccuracy,speedAccuracy,courseAccuracy
1782664639221502976,-14.062327146530151,43.73282857039852,-79.38266917588652,93.0624591904803,130.4724590378924,-1.0,-1.0,30.0,10.389421536270962,-1.0,-1.0
1782664653472146944,0.18831682205200195,43.732832991772206,-79.38266503889187,0.0,126.89567195951031,-1.0,-1.0,38.49461597292734,95.195014,-1.0,-1.0
1782664653474980864,0.19115066528320312,43.732832991772206,-79.3826650388919,92.75909273231017,130.16909257972227,-1.0,-1.0,30.0,19.579233577344965,-1.0,-1.0
1782664659501364992,6.217534780502319,43.732832991772206,-79.3826650388919,92.75909273231017,130.16909257972227,-1.0,-1.0,30.0,16.47619991511782,-1.0,-1.0
1782664665516702208,12.232872009277344,43.7328329917722,-79.38266503889189,92.75909273231017,130.16909257972227,-1.0,-1.0,30.0,16.6244953990341,-1.0,-1.0
1782664665877966848,12.594136714935303,43.73283299177219,-79.38266503889189,92.75909273231017,130.16909257972227,-1.0,-1.0,30.0,16.643692931587108,-1.0,-1.0
1782664671887390976,18.60356092453003,43.7328329917722,-79.38266503889189,92.75909273231017,130.16909257972227,-1.0,-1.0,30.0,15.355295118963953,-1.0,-1.0
1782664677899122944,24.61529278755188,43.7328329917722,-79.38266503889187,92.75909273231017,130.16909257972227,-1.0,-1.0,30.0,15.127257104677732,-1.0,-1.0
1782664686675269120,33.39143896102905,43.73274092356081,-79.38280200468319,92.75909654700743,130.16909639441954,-1.0,-1.0,40.58953518147416,17.56761479656336,-1.0,-1.0
1782664689455586816,36.171756744384766,43.732713914864846,-79.3828419288008,92.75909654700743,130.16909639441954,-1.0,-1.0,46.934279226219516,19.852639239234087,-1.0,-1.0
1782664702022671104,48.73884081840515,43.73269744229551,-79.38286872034858,118.94225692749023,156.35225677490234,-1.0,-1.0,300.0,49.7803823349978,-1.0,-1.0
1782664704793218048,51.5093879699707,43.7326973200522,-79.38286891916927,118.94225692749023,156.35225677490234,-1.0,-1.0,300.0,47.910291519495956,-1.0,-1.0
