time,seconds_elapsed,x,y,z
1782477541578474240,0.17311525344848633,-17.103012084960938,35.82426452636719,-34.20538330078125
1782477541588394240,0.18303513526916504,-16.960052490234375,35.35919189453125,-34.65484619140625
1782477541598313216,0.19295430183410645,-16.862838745117188,35.18304443359375,-34.9169921875
1782477541608233216,0.20287418365478516,-16.2569580078125,34.9696044921875,-35.539794921875
1782477541618153216,0.21279430389404297,-15.876846313476562,34.77543640136719,-36.112548828125
1782477541628073216,0.22271418571472168,-15.753662109375,34.451324462890625,-36.5806884765625
1782477541637992448,0.23263335227966309,-15.780685424804688,34.034576416015625,-37.15631103515625
1782477541647912192,0.2425532341003418,-15.440521240234375,33.30291748046875,-37.40875244140625
1782477541657832448,0.2524733543395996,-15.814254760742188,32.35993957519531,-38.25323486328125
1782477541667751424,0.2623922824859619,-15.582763671875,31.777496337890625,-38.6531982421875
1782477541677671168,0.2723121643066406,-15.814285278320312,30.622787475585938,-39.47796630859375
1782477541687591424,0.28223228454589844,-15.597824096679688,29.445831298828125,-40.73052978515625
1782477541697510144,0.29215121269226074,-15.244537353515625,28.422714233398438,-41.84832763671875
1782477541707430400,0.30207133293151855,-15.576324462890625,26.960479736328125,-42.35955810546875
1782477541717350144,0.31199121475219727,-15.503494262695312,25.909698486328125,-43.3209228515625
1782477541727269120,0.32191014289855957,-15.416702270507812,24.661209106445312,-43.956298828125
1782477541737189376,0.3318302631378174,-15.475601196289062,23.794113159179688,-44.4278564453125
1782477541747109120,0.3417501449584961,-14.938812255859375,23.20343017578125,-44.79425048828125
1782477541757028352,0.3516693115234375,-15.018844604492188,22.861251831054688,-45.31500244140625
1782477541766948096,0.3615891933441162,-14.586105346679688,22.482986450195312,-45.45452880859375
1782477541776868352,0.371509313583374,-14.392425537109375,21.909881591796875,-45.825439453125
1782477541786787328,0.38142824172973633,-14.23773193359375,21.055374145507812,-46.3165283203125
1782477541796707072,0.39134812355041504,-13.838226318359375,19.571121215820312,-47.0819091796875
1782477541806627328,0.40126824378967285,-13.311614990234375,17.785140991210938,-48.3641357421875
1782477541816547072,0.41118812561035156,-12.856597900390625,15.553192138671875,-49.3875732421875
1782477541826466304,0.42110729217529297,-12.702377319335938,13.3603515625,-50.21942138671875
1782477541836386304,0.4310271739959717,-11.97125244140625,11.331390380859375,-50.5113525390625
1782477541846306304,0.4409472942352295,-11.420242309570312,9.289306640625,-51.20428466796875
1782477541856225280,0.4508662223815918,-11.027816772460938,7.214935302734375,-51.2418212890625
1782477541866145280,0.4607863426208496,-11.146469116210938,5.3303070068359375,-51.74371337890625
1782477541876065280,0.4707062244415283,-11.06591796875,3.35369873046875,-51.82818603515625
1782477541885984256,0.4806251525878906,-10.60284423828125,1.29638671875,-52.093994140625
1782477541895904256,0.49054527282714844,-10.119613647460938,-1.14764404296875,-52.25799560546875
1782477541905824256,0.5004651546478271,-9.589874267578125,-3.073394775390625,-52.40252685546875
1782477541915743232,0.5103843212127686,-8.970840454101562,-4.7113037109375,-52.24505615234375
1782477541925663232,0.5203042030334473,-8.050369262695312,-5.4809722900390625,-52.520263671875
1782477541935583232,0.5302243232727051,-7.966552734375,-6.4132537841796875,-52.53460693359375
1782477541945503232,0.5401442050933838,-7.485992431640625,-7.7832489013671875,-52.3204345703125
1782477541955422208,0.5500631332397461,-7.5837860107421875,-10.258193969726562,-51.7047119140625
1782477541965342208,0.5599832534790039,-7.3728790283203125,-12.111923217773438,-51.6810302734375
1782477541975262208,0.5699031352996826,-6.76812744140625,-14.020675659179688,-51.1031494140625
1782477541985181440,0.579822301864624,-6.122650146484375,-16.462753295898438,-50.37017822265625
1782477541995101184,0.5897421836853027,-5.913787841796875,-19.424453735351562,-49.39324951171875
1782477542005021440,0.5996623039245605,-5.817840576171875,-22.168792724609375,-47.80230712890625
1782477542014940160,0.6095812320709229,-5.69915771484375,-25.188156127929688,-46.99603271484375
1782477542024860416,0.6195013523101807,-5.496185302734375,-27.91693115234375,-45.4482421875
1782477542034780160,0.6294212341308594,-4.618011474609375,-30.686767578125,-43.70367431640625
1782477542044699136,0.6393401622772217,-4.73968505859375,-33.605133056640625,-41.7064208984375
1782477542054619392,0.6492602825164795,-4.569976806640625,-36.15367126464844,-39.7105712890625
1782477542064539136,0.6591801643371582,-4.4567108154296875,-38.26167297363281,-37.763916015625
1782477542074458368,0.6690993309020996,-4.00421142578125,-40.016357421875,-35.8328857421875
1782477542084378368,0.6790192127227783,-3.77099609375,-41.55937194824219,-33.7349853515625
1782477542094298368,0.6889393329620361,-3.513427734375,-43.08790588378906,-32.04364013671875
1782477542104218368,0.6988592147827148,-3.3597259521484375,-44.39067077636719,-30.4971923828125
1782477542114137088,0.7087781429290771,-3.082855224609375,-45.55940246582031,-28.59564208984375
1782477542124057344,0.718698263168335,-2.7252655029296875,-46.73033142089844,-27.0224609375
1782477542133977088,0.7286181449890137,-2.5339813232421875,-47.8857421875,-25.173583984375
1782477542143896320,0.7385373115539551,-2.63140869140625,-48.96354675292969,-23.82373046875
1782477542153816320,0.7484571933746338,-2.4449920654296875,-50.14434814453125,-21.69561767578125
1782477542163736320,0.7583773136138916,-2.1574249267578125,-51.01615905761719,-19.7484130859375
1782477542173655296,0.7682962417602539,-1.7989959716796875,-51.79222106933594,-17.6785888671875
1782477542183575040,0.7782161235809326,-1.8108062744140625,-52.40724182128906,-15.75958251953125
1782477542193495296,0.7881362438201904,-1.8108062744140625,-52.40724182128906,-15.75958251953125
1782477542203414272,0.7980551719665527,-1.58172607421875,-53.0030517578125,-14.12628173828125
1782477542213334272,0.8079752922058105,-0.9692230224609375,-53.6307373046875,-12.84454345703125
1782477542223254272,0.8178951740264893,-0.6904449462890625,-54.104278564453125,-11.4561767578125
1782477542233173248,0.8278143405914307,-0.348876953125,-54.5611572265625,-10.07916259765625
1782477542243093248,0.8377342224121094,0.0711517333984375,-54.77642822265625,-8.248046875
1782477542253013248,0.8476543426513672,0.24072265625,-55.078636169433594,-6.97601318359375
1782477542262932224,0.8575732707977295,0.686920166015625,-55.43773651123047,-5.37841796875
1782477542272852224,0.8674931526184082,1.275299072265625,-55.73905944824219,-3.43963623046875
1782477542282772224,0.877413272857666,2.3134002685546875,-55.65734100341797,-2.15130615234375
1782477542292692224,0.8873331546783447,3.0724029541015625,-55.832679748535156,-0.7904052734375
1782477542302611456,0.8972523212432861,3.5085906982421875,-55.913124084472656,-0.040283203125
1782477542312531200,0.9071722030639648,4.1751708984375,-56.12842559814453,0.33587646484375
1782477542322451456,0.9170923233032227,5.0067596435546875,-56.063385009765625,0.86199951171875
1782477542332370176,0.927011251449585,5.721282958984375,-55.88355255126953,1.6207275390625
1782477542342290176,0.9369311332702637,6.120819091796875,-55.94774627685547,2.76251220703125
1782477542352210176,0.9468512535095215,6.75970458984375,-55.780540466308594,4.05706787109375
1782477542362129152,0.9567701816558838,7.6924285888671875,-55.81957244873047,5.36541748046875
1782477542372049408,0.9666903018951416,8.211593627929688,-55.83697509765625,7.5509033203125
1782477542381969152,0.9766101837158203,8.693161010742188,-55.736785888671875,9.033203125
1782477542391888384,0.9865293502807617,8.5941162109375,-55.67427062988281,10.76275634765625
1782477542401808384,0.9964492321014404,9.245361328125,-55.78553009033203,11.88385009765625
1782477542411728384,1.0063693523406982,9.541549682617188,-55.525535583496094,13.57550048828125
1782477542421648384,1.016289234161377,9.71258544921875,-55.243995666503906,14.6861572265625
1782477542431567104,1.0262081623077393,9.35968017578125,-55.179847717285156,15.79949951171875
1782477542441487360,1.036128282546997,9.204864501953125,-55.42005157470703,16.58154296875
1782477542451407104,1.0460481643676758,8.888992309570312,-55.31621551513672,17.1446533203125
1782477542461326848,1.0559678077697754,8.692947387695312,-55.86885070800781,16.48431396484375
1782477542471246848,1.0658879280090332,8.140167236328125,-56.39232635498047,16.0615234375
1782477542481166848,1.075807809829712,7.7913055419921875,-56.72522735595703,15.645263671875
1782477542491086080,1.0857269763946533,7.0910491943359375,-57.27583312988281,14.823486328125
1782477542501005824,1.095646858215332,6.893035888671875,-57.639991760253906,13.594970703125
1782477542510926080,1.1055669784545898,6.03729248046875,-58.3692626953125,12.42120361328125
