time,seconds_elapsed,latitude,longitude,ellipsoidalAltitude,altitude,course,speed,verticalAccuracy,horizontalAccuracy,speedAccuracy,courseAccuracy
1784028268889234944,-66.79144597053528,43.73267371220781,-79.38284482930788,141.98756345328584,179.39756330069795,-1.0,-1.0,224.63999762542716,19.88991984374847,-1.0,-1.0
1784028325299008000,-10.381673097610474,43.73267371072949,-79.38284482766113,0.0,0.0,-1.0,-1.0,-1.0,94.395014,-1.0,-1.0
1784028335984112896,0.30343198776245117,43.73267371468449,-79.38284483206678,-35.36772155761719,0.0,-1.0,-1.0,-1.0,19.645107488355364,-1.0,-1.0
1784028341990288896,6.309607982635498,43.732673714811035,-79.38284483220775,-35.36772155761719,0.0,-1.0,-1.0,-1.0,18.782700022065036,-1.0,-1.0
1784028348009588992,12.32890796661377,43.732673714824664,-79.38284483222293,-35.36772155761719,0.0,-1.0,-1.0,-1.0,17.581101054003927,-1.0,-1.0
1784028348852682240,13.172001123428345,43.73267371482812,-79.38284483222677,-35.36772155761719,0.0,-1.0,-1.0,-1.0,19.95692969476713,-1.0,-1.0
1784028354865847040,19.185166120529175,43.73267371482862,-79.38284483222733,-35.36772155761719,0.0,-1.0,-1.0,-1.0,18.99070664944758,-1.0,-1.0
1784028360875139840,25.194458961486816,43.73267371482867,-79.38284483222739,-35.36772155761719,0.0,-1.0,-1.0,-1.0,19.82691928490417,-1.0,-1.0
1784028365870697984,30.190016984939575,43.7326686752712,-79.38287341095894,96.57227110288952,133.98227095030163,-1.0,-1.0,30.0,23.2952300849356,-1.0,-1.0
1784028370436387072,34.75570607185364,43.732671986835804,-79.3828546314696,98.0304626542871,135.44046250169922,-1.0,-1.0,30.0,16.21251572697869,-1.0,-1.0
1784028376477383168,40.79670214653015,43.73267370917349,-79.38284486429724,155.28712553612422,192.69712538353633,-1.0,-1.0,30.17080453927853,19.96724631239838,-1.0,-1.0
1784028382488750080,46.8080689907074,43.732673714810204,-79.38284483233215,224.60318422592644,262.01318407333855,-1.0,-1.0,30.767199707632905,19.967308750456773,-1.0,-1.0
1784028383819890944,48.13920998573303,43.73267371481034,-79.38284483233137,234.25468522279363,271.66468507020573,-1.0,-1.0,30.963483499350108,25.79279843354949,-1.0,-1.0
